area,rooms,floor,total_floors,year_built,district,material,renovation,dist_to_center,price
32.8,1,11,11,2015,Нура,панель,евро,17.98,15.26
118.6,5,13,17,1963,Алматы,монолит,дизайнерский,1.27,217.76
102.8,2,5,6,1974,Есиль,монолит,евро,5.24,157.44
72.0,1,1,25,1988,Байконыр,кирпич,евро,9.68,68.8
90.2,4,12,14,2018,Байконыр,монолит,евро,4.54,134.39
39.5,1,2,8,1975,Сарыарка,панель,евро,21.71,16.69
117.1,5,5,5,2024,Есиль,кирпич,евро,0.7,222.82
80.0,4,5,25,2023,Байконыр,панель,косметический,11.19,70.16
102.6,3,15,17,1966,Алматы,монолит,косметический,3.98,137.88
35.7,1,15,23,1983,Сарыарка,кирпич,косметический,21.61,15.0
79.7,4,9,21,1977,Нура,кирпич,косметический,11.75,64.89
70.3,3,23,25,1992,Байконыр,монолит,косметический,8.69,71.87
121.4,4,9,23,2021,Есиль,кирпич,дизайнерский,2.32,250.0
71.5,3,2,21,1984,Нура,панель,евро,11.06,70.1
77.9,2,2,22,2003,Сарыарка,кирпич,косметический,9.23,73.94
43.9,1,19,22,1969,Нура,панель,косметический,20.0,17.67
79.7,2,4,10,1997,Байконыр,монолит,евро,9.29,84.04
75.6,3,14,17,1983,Байконыр,кирпич,евро,9.65,68.68
61.3,2,1,25,2020,Алматы,кирпич,дизайнерский,11.45,73.41
41.5,1,2,23,2011,Нура,кирпич,косметический,15.48,18.86
96.4,2,7,7,1974,Байконыр,монолит,евро,3.31,127.83
127.4,5,2,7,2000,Есиль,монолит,дизайнерский,1.74,250.0
36.7,1,7,9,1982,Нура,панель,без ремонта,19.15,15.0
66.5,2,8,20,1988,Сарыарка,кирпич,евро,8.09,62.48
41.2,2,7,13,1990,Нура,монолит,евро,21.92,18.1
105.5,4,3,18,2014,Алматы,кирпич,дизайнерский,3.61,172.89
44.6,2,2,7,1979,Сарыарка,монолит,косметический,21.63,16.66
93.8,2,5,6,1960,Сарыарка,монолит,косметический,4.2,134.96
104.3,4,12,21,1972,Байконыр,монолит,евро,4.65,133.8
102.5,4,6,11,2014,Байконыр,монолит,без ремонта,5.82,143.7
36.9,2,5,5,1979,Нура,панель,косметический,15.74,15.0
120.0,5,4,9,1963,Есиль,монолит,евро,2.02,218.28
39.6,2,9,11,1986,Нура,кирпич,без ремонта,17.77,15.8
43.8,1,10,13,2017,Сарыарка,панель,без ремонта,17.21,20.14
77.9,4,11,23,2017,Сарыарка,панель,евро,9.74,73.13
75.4,4,3,9,2022,Сарыарка,панель,косметический,10.72,65.96
103.0,3,7,17,2005,Алматы,кирпич,евро,3.72,164.18
93.5,4,9,10,2014,Сарыарка,кирпич,евро,5.0,148.28
74.8,1,5,15,2011,Сарыарка,панель,дизайнерский,8.44,87.64
115.1,5,8,11,1961,Алматы,монолит,евро,0.97,202.85
33.7,2,2,12,1987,Сарыарка,кирпич,без ремонта,15.91,15.0
73.4,1,6,17,1994,Байконыр,панель,косметический,11.17,67.77
43.3,1,16,17,1990,Нура,кирпич,косметический,19.86,19.08
124.9,3,4,7,2014,Алматы,монолит,евро,1.43,250.0
31.5,1,7,8,2024,Сарыарка,кирпич,косметический,16.92,15.0
39.7,2,3,10,1995,Нура,кирпич,без ремонта,17.41,15.76
68.3,2,18,23,1966,Байконыр,панель,косметический,11.77,53.77
118.0,4,11,11,1983,Есиль,кирпич,дизайнерский,1.86,227.99
123.1,5,16,17,1973,Алматы,кирпич,евро,1.15,191.11
103.4,3,7,14,1991,Байконыр,монолит,без ремонта,3.46,143.11
115.2,5,9,12,1975,Алматы,кирпич,дизайнерский,1.96,218.86
122.6,5,5,5,1965,Алматы,монолит,евро,1.12,205.53
68.1,1,12,14,1971,Сарыарка,кирпич,дизайнерский,8.36,70.62
76.2,3,25,25,1992,Сарыарка,панель,евро,8.61,75.98
104.7,3,1,24,1969,Алматы,монолит,евро,5.14,150.23
99.8,3,6,11,1961,Сарыарка,кирпич,дизайнерский,3.03,127.32
65.9,3,13,16,1978,Сарыарка,монолит,евро,11.9,57.54
41.7,1,9,11,2002,Сарыарка,панель,косметический,15.63,18.18
96.8,2,4,24,2001,Алматы,монолит,косметический,4.97,143.67
39.2,1,10,16,1985,Нура,кирпич,евро,18.49,18.03
120.9,4,4,24,2003,Есиль,монолит,дизайнерский,1.08,250.0
37.4,1,3,22,1972,Нура,кирпич,без ремонта,16.11,15.58
39.3,2,2,11,2007,Нура,панель,косметический,18.02,15.69
128.2,3,14,14,1961,Есиль,кирпич,дизайнерский,0.72,237.36
32.3,1,5,16,1968,Сарыарка,панель,косметический,16.0,15.0
33.2,1,5,10,2020,Сарыарка,кирпич,без ремонта,21.68,15.0
93.3,2,6,22,1990,Байконыр,панель,евро,3.49,138.43
125.8,5,15,16,1996,Есиль,монолит,евро,1.21,217.67
34.0,1,9,9,1986,Нура,панель,косметический,16.01,15.0
73.7,2,10,15,2002,Байконыр,панель,косметический,8.79,67.76
95.8,2,19,22,2009,Байконыр,монолит,евро,3.54,170.97
115.5,4,2,13,2011,Алматы,монолит,дизайнерский,1.14,250.0
74.5,3,19,19,1976,Байконыр,кирпич,евро,8.32,67.32
39.0,1,11,25,2001,Сарыарка,панель,косметический,18.65,17.02
36.6,1,5,12,2011,Сарыарка,кирпич,без ремонта,16.38,17.3
33.7,1,5,25,1987,Нура,кирпич,без ремонта,15.53,15.0
43.2,1,12,13,1985,Сарыарка,панель,евро,16.42,19.62
105.3,4,3,16,2001,Байконыр,кирпич,косметический,4.68,160.76
35.6,1,19,21,1997,Нура,панель,без ремонта,15.38,15.0
76.9,2,5,6,1976,Сарыарка,монолит,евро,11.81,71.37
98.2,4,15,19,2023,Байконыр,кирпич,евро,4.13,153.7
104.1,3,1,16,1997,Байконыр,кирпич,евро,4.41,150.65
36.7,1,14,18,1997,Байконыр,панель,косметический,15.98,15.0
104.8,2,25,25,1973,Алматы,кирпич,косметический,3.93,134.89
103.5,3,6,15,2004,Алматы,монолит,дизайнерский,5.86,179.74
103.5,3,11,24,2020,Байконыр,кирпич,евро,3.87,168.29
36.1,2,2,16,2007,Нура,кирпич,косметический,18.45,15.15
32.7,1,5,9,1993,Нура,панель,косметический,19.56,15.0
126.8,4,13,18,2002,Алматы,монолит,евро,2.08,250.0
66.4,3,3,8,1975,Сарыарка,панель,евро,11.57,58.66
74.8,2,18,23,1963,Сарыарка,кирпич,косметический,10.62,61.08
62.1,3,1,8,2002,Сарыарка,монолит,евро,10.21,63.99
102.2,3,11,15,1971,Байконыр,монолит,евро,4.63,141.53
126.9,5,13,22,1965,Алматы,монолит,дизайнерский,1.73,232.74
41.0,1,2,5,2011,Нура,панель,косметический,15.61,20.16
125.0,5,6,15,1988,Есиль,монолит,евро,1.02,227.68
36.7,2,4,15,2016,Нура,кирпич,косметический,18.09,15.96
62.8,2,8,12,2017,Байконыр,кирпич,евро,11.68,61.56
100.4,2,13,19,1968,Алматы,монолит,косметический,5.56,134.21
30.2,1,7,11,2010,Сарыарка,кирпич,косметический,19.07,15.0
44.5,1,3,12,1982,Нура,кирпич,косметический,16.64,19.86
68.3,1,3,10,2006,Байконыр,панель,евро,10.62,69.96
128.9,4,15,18,1962,Алматы,монолит,дизайнерский,1.72,246.59
94.0,2,11,23,1991,Байконыр,монолит,косметический,4.99,131.75
127.0,3,4,8,2001,Есиль,монолит,евро,1.11,250.0
106.9,3,5,13,1989,Алматы,монолит,евро,3.97,154.62
61.1,1,9,9,1996,Сарыарка,кирпич,косметический,10.63,58.85
109.3,4,3,10,1960,Алматы,кирпич,евро,4.66,148.24
42.2,2,20,25,1960,Нура,панель,без ремонта,17.6,15.0
40.9,2,15,19,1999,Нура,кирпич,без ремонта,15.5,17.36
99.3,4,6,24,1987,Байконыр,панель,евро,3.25,141.03
108.7,5,1,18,1998,Алматы,монолит,евро,4.64,157.15
43.0,2,5,18,1983,Сарыарка,панель,косметический,16.54,18.32
79.0,2,6,20,1960,Байконыр,кирпич,евро,11.37,67.15
110.0,3,14,18,2006,Алматы,монолит,евро,4.29,178.75
118.3,4,12,22,1969,Есиль,монолит,дизайнерский,1.47,227.14
99.7,2,5,11,2011,Алматы,монолит,евро,5.27,176.07
78.0,2,4,7,1960,Сарыарка,кирпич,косметический,10.61,60.72
61.0,3,15,15,2021,Сарыарка,панель,косметический,10.01,58.19
76.8,3,5,5,1976,Байконыр,панель,косметический,9.56,62.82
104.5,4,1,5,2018,Есиль,монолит,евро,5.54,178.66
120.7,4,6,6,1960,Есиль,кирпич,евро,2.3,200.28
70.2,2,3,6,1989,Нура,монолит,евро,10.01,70.4
43.6,1,15,19,1987,Сарыарка,панель,без ремонта,18.27,17.74
35.1,1,17,17,1970,Нура,кирпич,косметический,21.93,15.0
102.9,2,13,24,1991,Байконыр,монолит,евро,3.6,162.19
94.7,4,7,11,1974,Алматы,монолит,евро,3.24,120.93
39.2,2,5,11,1988,Нура,кирпич,без ремонта,21.97,15.0
39.1,1,2,15,1984,Нура,панель,без ремонта,21.86,15.0
90.9,3,1,21,1973,Байконыр,кирпич,евро,4.17,131.75
34.0,1,9,24,2012,Сарыарка,кирпич,без ремонта,17.96,15.0
99.1,3,17,20,1994,Сарыарка,монолит,евро,4.6,153.43
74.0,1,6,15,2015,Сарыарка,кирпич,евро,10.09,80.57
33.3,1,11,25,2013,Сарыарка,панель,косметический,15.56,16.47
120.2,3,5,8,1977,Есиль,монолит,дизайнерский,1.99,250.0
31.7,1,5,14,1979,Сарыарка,панель,косметический,17.27,15.0
39.9,1,5,10,2022,Сарыарка,панель,косметический,16.66,19.33
41.7,1,5,8,1980,Нура,панель,косметический,15.1,18.02
41.4,2,12,13,1966,Сарыарка,кирпич,евро,15.67,16.37
34.7,2,16,21,1995,Нура,кирпич,косметический,18.17,15.12
33.1,1,9,11,2023,Нура,кирпич,без ремонта,17.38,15.0
36.8,1,12,22,1975,Нура,панель,евро,16.26,15.71
38.2,1,12,17,2002,Нура,панель,без ремонта,20.01,16.34
105.7,3,3,19,1982,Есиль,монолит,дизайнерский,4.13,171.69
96.5,2,2,10,1985,Байконыр,монолит,дизайнерский,4.89,170.0
77.7,4,22,23,1989,Байконыр,панель,косметический,9.44,67.99
71.5,2,6,9,1969,Байконыр,кирпич,косметический,9.79,56.2
62.3,2,2,12,1985,Сарыарка,монолит,косметический,11.21,51.77
122.6,4,9,21,1978,Есиль,монолит,без ремонта,1.87,220.39
129.3,3,19,19,2014,Есиль,кирпич,евро,1.21,250.0
43.8,1,1,11,1975,Сарыарка,панель,косметический,17.5,17.3
43.1,1,5,10,2016,Нура,кирпич,косметический,20.96,20.34
43.7,2,12,14,1961,Сарыарка,панель,без ремонта,16.69,16.04
42.8,1,14,14,1986,Сарыарка,панель,косметический,18.77,17.86
60.1,1,3,6,1977,Байконыр,панель,косметический,9.67,51.53
69.9,3,10,10,1989,Сарыарка,панель,евро,8.1,65.11
44.5,1,6,8,2010,Сарыарка,кирпич,без ремонта,16.29,19.52
79.0,2,4,8,2023,Байконыр,кирпич,косметический,9.13,82.4
71.5,2,10,12,2008,Сарыарка,кирпич,косметический,8.93,70.67
37.0,2,5,5,1993,Сарыарка,кирпич,без ремонта,18.47,15.0
124.2,3,6,19,1993,Алматы,монолит,дизайнерский,0.92,250.0
30.7,1,2,19,2025,Нура,панель,без ремонта,16.07,15.01
119.7,3,8,9,2025,Есиль,монолит,евро,2.06,250.0
31.3,2,2,23,2010,Нура,панель,без ремонта,16.13,15.0
129.1,5,14,17,1970,Есиль,кирпич,евро,1.72,229.54
125.5,5,4,11,1977,Есиль,кирпич,дизайнерский,1.82,232.73
119.0,3,7,9,1977,Алматы,монолит,евро,2.46,242.83
105.7,5,9,14,1975,Есиль,кирпич,евро,4.52,140.69
103.1,2,1,25,2023,Алматы,кирпич,евро,5.81,161.43
103.9,4,1,5,1970,Алматы,кирпич,дизайнерский,4.23,146.9
95.7,4,4,5,2016,Есиль,кирпич,дизайнерский,3.25,151.47
35.9,2,7,13,2013,Нура,кирпич,без ремонта,19.29,16.35
67.5,3,2,24,1994,Байконыр,кирпич,дизайнерский,11.17,69.08
60.6,1,10,10,1980,Сарыарка,монолит,косметический,9.8,54.53
128.6,4,5,20,1977,Есиль,монолит,дизайнерский,1.33,250.0
78.3,2,15,17,2004,Байконыр,панель,евро,9.12,74.91
66.5,2,2,9,2004,Байконыр,кирпич,евро,11.24,68.35
99.4,3,6,24,1995,Алматы,монолит,косметический,3.91,145.0
33.9,2,5,8,1997,Нура,панель,косметический,16.85,15.0
32.5,1,8,15,2014,Сарыарка,панель,косметический,16.21,15.0
74.1,3,11,18,2009,Сарыарка,кирпич,евро,8.08,84.78
73.9,1,4,19,2009,Байконыр,кирпич,евро,8.7,81.56
44.3,1,6,22,1978,Нура,кирпич,косметический,21.51,17.83
65.1,3,6,19,1964,Сарыарка,кирпич,косметический,11.31,50.44
61.3,1,8,18,1990,Байконыр,кирпич,евро,10.2,63.45
67.7,3,8,8,1982,Сарыарка,кирпич,евро,11.09,58.05
66.3,2,6,11,1982,Сарыарка,кирпич,косметический,11.35,55.38
93.6,4,12,12,1994,Есиль,монолит,евро,4.82,135.43
32.9,1,4,12,2021,Нура,панель,косметический,15.3,15.18
120.2,4,2,7,2013,Есиль,кирпич,евро,2.14,238.37
122.7,5,1,6,2004,Есиль,монолит,дизайнерский,1.71,240.62
74.0,3,3,14,2007,Байконыр,панель,евро,11.77,68.95
76.4,2,7,20,1987,Сарыарка,кирпич,евро,8.25,74.25
64.4,3,9,23,1996,Сарыарка,кирпич,евро,11.2,59.24
122.2,4,18,24,1988,Есиль,монолит,дизайнерский,1.12,250.0
94.9,4,7,15,2013,Алматы,кирпич,евро,3.77,160.14
91.8,3,16,23,2025,Алматы,монолит,дизайнерский,3.81,177.15
70.6,3,2,14,1988,Сарыарка,кирпич,евро,10.84,72.48
92.5,3,14,14,2007,Алматы,кирпич,дизайнерский,4.02,142.6
44.4,1,2,9,1963,Нура,панель,без ремонта,18.96,17.47
94.2,4,1,18,1986,Байконыр,монолит,дизайнерский,5.24,142.2
41.4,1,5,11,2017,Нура,панель,без ремонта,18.84,18.59
101.6,3,10,15,2005,Сарыарка,кирпич,евро,5.82,159.88
128.9,5,6,24,1994,Есиль,монолит,евро,0.8,249.42
39.6,2,3,16,1974,Сарыарка,панель,косметический,16.75,15.78
98.8,4,10,11,2013,Байконыр,монолит,дизайнерский,4.05,171.27
40.1,1,16,19,2024,Нура,панель,евро,18.17,18.09
95.3,4,16,20,1985,Байконыр,монолит,без ремонта,3.59,122.96
35.0,1,4,17,2013,Сарыарка,панель,косметический,15.61,16.52
119.0,5,3,5,1998,Алматы,монолит,евро,1.81,235.71
39.7,1,7,9,1986,Сарыарка,панель,без ремонта,20.05,15.68
120.0,5,4,7,1981,Есиль,кирпич,дизайнерский,1.24,216.65
107.2,4,5,25,1993,Байконыр,монолит,евро,4.26,165.34
100.5,4,10,11,1987,Алматы,монолит,евро,4.06,148.33
108.5,4,14,14,2000,Алматы,кирпич,евро,5.97,152.96
102.7,4,4,23,1969,Алматы,монолит,евро,4.39,138.98
124.9,5,18,25,1991,Байконыр,кирпич,дизайнерский,1.95,250.0
32.8,2,8,9,2008,Сарыарка,панель,косметический,16.55,15.0
90.3,2,13,23,2015,Алматы,кирпич,косметический,5.04,139.04
44.1,1,1,20,1978,Нура,кирпич,евро,16.35,21.55
108.3,4,12,17,1999,Есиль,монолит,косметический,5.74,159.12
34.5,1,8,8,1979,Сарыарка,кирпич,косметический,17.2,15.0
60.8,1,5,19,2012,Сарыарка,панель,без ремонта,8.83,57.0
64.3,1,3,17,1983,Сарыарка,монолит,евро,11.73,65.21
75.2,4,4,14,2004,Байконыр,монолит,дизайнерский,9.62,75.61
75.9,3,14,17,1988,Байконыр,монолит,евро,11.55,75.68
107.1,5,6,9,1977,Алматы,монолит,дизайнерский,4.89,135.84
102.7,4,1,18,1998,Алматы,монолит,косметический,3.75,145.2
75.5,2,5,8,2001,Нура,монолит,косметический,10.42,76.84
100.7,4,9,11,2005,Байконыр,монолит,евро,4.82,155.34
128.3,3,3,15,2012,Есиль,монолит,евро,1.96,250.0
33.8,1,5,8,2004,Нура,панель,без ремонта,21.32,15.0
40.7,2,6,24,2016,Нура,панель,без ремонта,20.58,17.61
39.8,1,1,23,1987,Сарыарка,кирпич,косметический,21.63,15.96
99.1,4,6,14,1993,Алматы,кирпич,косметический,4.21,126.18
62.8,2,13,16,1991,Сарыарка,панель,евро,10.11,60.56
99.6,2,8,11,1998,Байконыр,монолит,евро,4.27,165.86
105.4,5,1,9,1969,Байконыр,кирпич,евро,5.94,127.71
71.0,1,5,25,2016,Байконыр,кирпич,евро,8.64,77.5
116.7,4,8,13,1994,Есиль,монолит,евро,1.52,234.26
100.3,3,9,25,1996,Байконыр,монолит,евро,3.84,170.13
36.8,1,2,6,2017,Сарыарка,монолит,евро,19.56,19.71
68.5,2,4,7,1990,Байконыр,кирпич,косметический,11.66,62.02
79.8,3,11,14,1990,Байконыр,монолит,евро,10.23,83.63
39.5,1,13,21,1997,Нура,кирпич,косметический,19.64,17.39
32.4,1,12,13,2021,Сарыарка,панель,без ремонта,18.36,15.0
118.1,3,3,22,1976,Алматы,монолит,евро,1.67,235.04
73.1,2,4,7,1970,Сарыарка,панель,евро,8.02,67.88
78.7,2,13,22,1967,Сарыарка,панель,евро,8.07,69.2
93.5,4,11,14,2008,Алматы,монолит,евро,4.41,137.73
62.9,3,6,10,1960,Байконыр,кирпич,евро,11.11,55.47
129.2,5,17,18,2006,Алматы,кирпич,дизайнерский,1.83,250.0
91.2,4,18,21,2018,Алматы,монолит,евро,3.48,139.0
69.0,1,17,24,2004,Сарыарка,панель,косметический,8.65,67.09
75.4,3,3,6,1971,Сарыарка,кирпич,дизайнерский,10.39,69.75
126.7,3,7,19,2003,Есиль,монолит,дизайнерский,1.54,250.0
92.5,2,6,11,1989,Сарыарка,монолит,дизайнерский,3.54,158.85
120.2,4,7,15,1961,Есиль,монолит,евро,2.28,250.0
40.1,1,1,14,1973,Нура,панель,косметический,21.34,15.0
120.4,3,5,21,2008,Есиль,монолит,дизайнерский,0.84,250.0
95.0,2,11,13,1997,Алматы,монолит,косметический,4.81,156.8
34.1,1,5,10,1992,Сарыарка,панель,косметический,18.58,15.0
97.4,2,15,15,2011,Байконыр,кирпич,евро,5.25,153.78
107.8,3,5,19,1994,Байконыр,монолит,косметический,4.91,160.07
34.1,1,22,22,2023,Байконыр,кирпич,косметический,17.49,15.82
67.4,1,5,5,1963,Нура,панель,евро,10.72,61.72
94.8,4,6,16,1978,Байконыр,монолит,дизайнерский,3.99,137.2
32.4,2,4,6,1972,Нура,панель,косметический,19.48,15.0
